[34m2025-08-13 13:37:21.402[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] Starting CarRentalSystemsApplication using Java 21.0.6 with PID 20736 (C:\Users\jancy\OneDrive\Desktop\car-rental-systems\target\classes started by jancy in C:\Users\jancy\OneDrive\Desktop\car-rental-systems)
[34m2025-08-13 13:41:05.743[0;39m [INFO] org.springframework.web.servlet.DispatcherServlet [http-nio-8080-exec-2] Initializing Servlet 'dispatcherServlet'
[34m2025-08-13 13:41:05.766[0;39m [INFO] org.springframework.web.servlet.DispatcherServlet [http-nio-8080-exec-2] Completed initialization in 22 ms
[34m2025-08-13 13:43:14.485[0;39m [INFO] org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin [RMI TCP Connection(9)-127.0.0.1] Application shutdown requested.
[34m2025-08-13 13:43:14.512[0;39m [INFO] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean [RMI TCP Connection(9)-127.0.0.1] Closing JPA EntityManagerFactory for persistence unit 'default'
[34m2025-08-13 13:43:14.519[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [RMI TCP Connection(9)-127.0.0.1] HikariPool-1 - Shutdown initiated...
[34m2025-08-13 13:43:14.543[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [RMI TCP Connection(9)-127.0.0.1] HikariPool-1 - Shutdown completed.
[34m2025-08-13 13:43:19.742[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] Starting CarRentalSystemsApplication using Java 21.0.6 with PID 10120 (C:\Users\jancy\OneDrive\Desktop\car-rental-systems\target\classes started by jancy in C:\Users\jancy\OneDrive\Desktop\car-rental-systems)
[34m2025-08-13 13:43:19.744[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] No active profile set, falling back to 1 default profile: "default"
[34m2025-08-13 13:43:21.242[0;39m [INFO] org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[34m2025-08-13 13:43:21.372[0;39m [INFO] org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Finished Spring Data repository scanning in 117 ms. Found 5 JPA repository interfaces.
[34m2025-08-13 13:43:22.361[0;39m [INFO] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat initialized with port 8080 (http)
[34m2025-08-13 13:43:22.385[0;39m [INFO] org.apache.catalina.core.StandardService [main] Starting service [Tomcat]
[34m2025-08-13 13:43:22.386[0;39m [INFO] org.apache.catalina.core.StandardEngine [main] Starting Servlet engine: [Apache Tomcat/10.1.20]
[34m2025-08-13 13:43:22.500[0;39m [INFO] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [main] Initializing Spring embedded WebApplicationContext
[34m2025-08-13 13:43:22.501[0;39m [INFO] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext [main] Root WebApplicationContext: initialization completed in 2670 ms
[34m2025-08-13 13:43:22.758[0;39m [INFO] org.hibernate.jpa.internal.util.LogHelper [main] HHH000204: Processing PersistenceUnitInfo [name: default]
[34m2025-08-13 13:43:22.878[0;39m [INFO] org.hibernate.Version [main] HHH000412: Hibernate ORM core version 6.4.4.Final
[34m2025-08-13 13:43:22.965[0;39m [INFO] org.hibernate.cache.internal.RegionFactoryInitiator [main] HHH000026: Second-level cache disabled
[34m2025-08-13 13:43:23.392[0;39m [INFO] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo [main] No LoadTimeWeaver setup: ignoring JPA class transformer
[34m2025-08-13 13:43:23.453[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Starting...
[34m2025-08-13 13:43:24.024[0;39m [INFO] com.zaxxer.hikari.pool.HikariPool [main] HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3caa4d85
[34m2025-08-13 13:43:24.028[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Start completed.
[34m2025-08-13 13:43:24.125[0;39m [WARN] org.hibernate.orm.deprecation [main] HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
[34m2025-08-13 13:43:24.127[0;39m [WARN] org.hibernate.orm.deprecation [main] HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
[34m2025-08-13 13:43:25.918[0;39m [INFO] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator [main] HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
[34m2025-08-13 13:43:26.145[0;39m [INFO] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean [main] Initialized JPA EntityManagerFactory for persistence unit 'default'
[34m2025-08-13 13:43:26.585[0;39m [INFO] org.springframework.data.jpa.repository.query.QueryEnhancerFactory [main] Hibernate is in classpath; If applicable, HQL parser will be used.
[34m2025-08-13 13:43:27.855[0;39m [WARN] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration [main] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[34m2025-08-13 13:43:28.433[0;39m [INFO] org.springframework.security.web.DefaultSecurityFilterChain [main] Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@47ba8e3c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1638fa8b, org.springframework.security.web.context.SecurityContextHolderFilter@623dac3, org.springframework.security.web.header.HeaderWriterFilter@48d588dd, org.springframework.web.filter.CorsFilter@1b60c196, org.springframework.security.web.authentication.logout.LogoutFilter@68a0a4ae, com.hexaware.carrentalsystems.filter.JwtAuthFilter@7cf618f3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2763500e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2416378c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1c7aa676, org.springframework.security.web.access.ExceptionTranslationFilter@397ff526, org.springframework.security.web.access.intercept.AuthorizationFilter@1768c77f]
[34m2025-08-13 13:43:29.220[0;39m [INFO] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat started on port 8080 (http) with context path ''
[34m2025-08-13 13:43:29.238[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] Started CarRentalSystemsApplication in 10.314 seconds (process running for 11.728)
[34m2025-08-13 13:43:37.012[0;39m [INFO] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [http-nio-8080-exec-2] Initializing Spring DispatcherServlet 'dispatcherServlet'
[34m2025-08-13 13:43:37.013[0;39m [INFO] org.springframework.web.servlet.DispatcherServlet [http-nio-8080-exec-2] Initializing Servlet 'dispatcherServlet'
[34m2025-08-13 13:43:37.019[0;39m [INFO] org.springframework.web.servlet.DispatcherServlet [http-nio-8080-exec-2] Completed initialization in 5 ms
[34m2025-08-13 13:44:19.169[0;39m [INFO] org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin [RMI TCP Connection(3)-127.0.0.1] Application shutdown requested.
[34m2025-08-13 13:44:19.188[0;39m [INFO] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean [RMI TCP Connection(3)-127.0.0.1] Closing JPA EntityManagerFactory for persistence unit 'default'
[34m2025-08-13 13:44:19.192[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [RMI TCP Connection(3)-127.0.0.1] HikariPool-1 - Shutdown initiated...
[34m2025-08-13 13:44:19.208[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [RMI TCP Connection(3)-127.0.0.1] HikariPool-1 - Shutdown completed.
[34m2025-08-13 13:44:23.599[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] Starting CarRentalSystemsApplication using Java 21.0.6 with PID 9384 (C:\Users\jancy\OneDrive\Desktop\car-rental-systems\target\classes started by jancy in C:\Users\jancy\OneDrive\Desktop\car-rental-systems)
[34m2025-08-13 13:44:23.602[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] No active profile set, falling back to 1 default profile: "default"
[34m2025-08-13 13:44:25.101[0;39m [INFO] org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[34m2025-08-13 13:44:25.220[0;39m [INFO] org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Finished Spring Data repository scanning in 106 ms. Found 5 JPA repository interfaces.
[34m2025-08-13 13:44:26.362[0;39m [INFO] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat initialized with port 8080 (http)
[34m2025-08-13 13:44:26.385[0;39m [INFO] org.apache.catalina.core.StandardService [main] Starting service [Tomcat]
[34m2025-08-13 13:44:26.386[0;39m [INFO] org.apache.catalina.core.StandardEngine [main] Starting Servlet engine: [Apache Tomcat/10.1.20]
[34m2025-08-13 13:44:26.501[0;39m [INFO] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [main] Initializing Spring embedded WebApplicationContext
[34m2025-08-13 13:44:26.502[0;39m [INFO] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext [main] Root WebApplicationContext: initialization completed in 2815 ms
[34m2025-08-13 13:44:26.792[0;39m [INFO] org.hibernate.jpa.internal.util.LogHelper [main] HHH000204: Processing PersistenceUnitInfo [name: default]
[34m2025-08-13 13:44:26.888[0;39m [INFO] org.hibernate.Version [main] HHH000412: Hibernate ORM core version 6.4.4.Final
[34m2025-08-13 13:44:26.970[0;39m [INFO] org.hibernate.cache.internal.RegionFactoryInitiator [main] HHH000026: Second-level cache disabled
[34m2025-08-13 13:44:27.394[0;39m [INFO] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo [main] No LoadTimeWeaver setup: ignoring JPA class transformer
[34m2025-08-13 13:44:27.452[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Starting...
[34m2025-08-13 13:44:28.057[0;39m [INFO] com.zaxxer.hikari.pool.HikariPool [main] HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4dac40b
[34m2025-08-13 13:44:28.060[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Start completed.
[34m2025-08-13 13:44:28.133[0;39m [WARN] org.hibernate.orm.deprecation [main] HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
[34m2025-08-13 13:44:28.134[0;39m [WARN] org.hibernate.orm.deprecation [main] HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
[34m2025-08-13 13:44:29.922[0;39m [INFO] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator [main] HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
[34m2025-08-13 13:44:30.117[0;39m [INFO] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean [main] Initialized JPA EntityManagerFactory for persistence unit 'default'
[34m2025-08-13 13:44:30.628[0;39m [INFO] org.springframework.data.jpa.repository.query.QueryEnhancerFactory [main] Hibernate is in classpath; If applicable, HQL parser will be used.
[34m2025-08-13 13:44:32.187[0;39m [WARN] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration [main] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[34m2025-08-13 13:44:32.870[0;39m [INFO] org.springframework.security.web.DefaultSecurityFilterChain [main] Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4dbcc8ce, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@60a98fa6, org.springframework.security.web.context.SecurityContextHolderFilter@1c7aa676, org.springframework.security.web.header.HeaderWriterFilter@47ba8e3c, org.springframework.web.filter.CorsFilter@3af4b14e, org.springframework.security.web.authentication.logout.LogoutFilter@64c189d8, com.hexaware.carrentalsystems.filter.JwtAuthFilter@76b9056d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2b7b6f58, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@7a65e842, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@1de78f97, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5e9f4f76, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@43ee4942, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@36b6ce5d, org.springframework.security.web.access.ExceptionTranslationFilter@bb0dcb6, org.springframework.security.web.access.intercept.AuthorizationFilter@550482aa]
[34m2025-08-13 13:44:33.604[0;39m [INFO] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat started on port 8080 (http) with context path ''
[34m2025-08-13 13:44:33.622[0;39m [INFO] com.hexaware.carrentalsystems.CarRentalSystemsApplication [main] Started CarRentalSystemsApplication in 10.801 seconds (process running for 12.181)
[34m2025-08-13 13:44:39.312[0;39m [INFO] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [http-nio-8080-exec-2] Initializing Spring DispatcherServlet 'dispatcherServlet'
[34m2025-08-13 13:44:39.312[0;39m [INFO] org.springframework.web.servlet.DispatcherServlet [http-nio-8080-exec-2] Initializing Servlet 'dispatcherServlet'
[34m2025-08-13 13:44:39.316[0;39m [INFO] org.springframework.web.servlet.DispatcherServlet [http-nio-8080-exec-2] Completed initialization in 4 ms
[34m2025-08-13 13:46:37.485[0;39m [INFO] com.hexaware.carrentalsystems.controller.AuthController [http-nio-8080-exec-6] Generated Token: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJBbGljZSIsImlhdCI6MTc1NTA3Mjk5NywiZXhwIjoxNzU1MDc0Nzk3fQ.s4jKJacISPXEpY2s9dBD8KqMSy65QGh63tbfNrhUhpE
[34m2025-08-13 13:47:07.161[0;39m [INFO] com.hexaware.carrentalsystems.controller.AuthController [http-nio-8080-exec-7] Generated Token: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJBbGljZSIsImlhdCI6MTc1NTA3MzAyNywiZXhwIjoxNzU1MDc0ODI3fQ.2zMzwKCoGeLWYUAw_wfT9nsEGgOYZUwttHTGEB4y6kU
[34m2025-08-13 13:47:12.101[0;39m [INFO] com.hexaware.carrentalsystems.controller.AuthController [http-nio-8080-exec-8] Generated Token: eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJBbGljZSIsImlhdCI6MTc1NTA3MzAzMiwiZXhwIjoxNzU1MDc0ODMyfQ.Bb5wHI7mj1vSDCbbv3XpFdYtSJH75LbbFwdfmTfaBJc
[34m2025-08-13 13:47:34.532[0;39m [WARN] org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver [http-nio-8080-exec-9] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public com.hexaware.carrentalsystems.entities.Car com.hexaware.carrentalsystems.controller.CarRestController.addCar(com.hexaware.carrentalsystems.dto.CarDto) with 3 errors: [Field error in object 'carDto' on field 'availability': rejected value [null]; codes [NotNull.carDto.availability,NotNull.availability,NotNull.com.hexaware.carrentalsystems.entities.Car$Availability,NotNull]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [carDto.availability,availability]; arguments []; default message [availability]]; default message [must not be null]] [Field error in object 'carDto' on field 'pricePerDay': rejected value [0.0]; codes [Min.carDto.pricePerDay,Min.pricePerDay,Min.double,Min]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [carDto.pricePerDay,pricePerDay]; arguments []; default message [pricePerDay],800]; default message [must be greater than or equal to 800]] [Field error in object 'carDto' on field 'carId': rejected value [0]; codes [Min.carDto.carId,Min.carId,Min.int,Min]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [carDto.carId,carId]; arguments []; default message [carId],5]; default message [must be greater than or equal to 5]] ]
[34m2025-08-13 13:51:15.481[0;39m [INFO] com.hexaware.carrentalsystems.controller.CarRestController [http-nio-8080-exec-2] Received request to add new car: CarDto(carId=14, brand=Maruthi, model=Xls, pricePerDay=1600.0, availability=AVAILABLE)
[34m2025-08-13 13:51:15.494[0;39m [INFO] com.hexaware.carrentalsystems.service.CarServiceImp [http-nio-8080-exec-2] Adding new car: CarDto(carId=14, brand=Maruthi, model=Xls, pricePerDay=1600.0, availability=AVAILABLE)
[34m2025-08-13 13:56:20.861[0;39m [INFO] com.hexaware.carrentalsystems.controller.FeedbackRestController [http-nio-8080-exec-6] Received request to add feedback: FeedbackDto(feedbackId=5, userId=10, carId=14, rating=4, comment=good conditioned car)
[34m2025-08-13 13:56:20.877[0;39m [INFO] com.hexaware.carrentalsystems.service.FeedbackServiceImp [http-nio-8080-exec-6] Adding feedback...
[34m2025-08-13 13:57:47.388[0;39m [INFO] com.hexaware.carrentalsystems.controller.CarRestController [http-nio-8080-exec-9] Fetching cars by brand: Mahindra
[34m2025-08-13 13:57:47.389[0;39m [INFO] com.hexaware.carrentalsystems.service.CarServiceImp [http-nio-8080-exec-9] Fetching cars by brand: Mahindra
[34m2025-08-13 13:58:24.108[0;39m [INFO] org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin [RMI TCP Connection(17)-127.0.0.1] Application shutdown requested.
[34m2025-08-13 13:58:24.145[0;39m [INFO] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean [RMI TCP Connection(17)-127.0.0.1] Closing JPA EntityManagerFactory for persistence unit 'default'
[34m2025-08-13 13:58:24.159[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [RMI TCP Connection(17)-127.0.0.1] HikariPool-1 - Shutdown initiated...
[34m2025-08-13 13:58:24.195[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [RMI TCP Connection(17)-127.0.0.1] HikariPool-1 - Shutdown completed.
